Arc_length vs Data,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-26.477,0.266983,0.279343,0.279861,0.242264,0.22239,0.260875,0.222809,0.238716,0.191517,0.288398,0.409867,0.31488
-25.977,0.270797,0.278969,0.286145,0.250082,0.228774,0.287752,0.229413,0.250689,0.211262,0.30336,0.416617,0.325405
-25.477,0.276513,0.28515,0.292237,0.258978,0.237802,0.318029,0.231231,0.264267,0.227661,0.31404,0.430964,0.337532
-24.977,0.288962,0.301915,0.308027,0.275026,0.255932,0.363535,0.239919,0.289579,0.250446,0.327285,0.468278,0.35478
-24.477,0.310738,0.325937,0.333366,0.302079,0.281587,0.421271,0.260163,0.329901,0.284159,0.349113,0.515568,0.378377
-23.977,0.327746,0.344818,0.353376,0.322975,0.300106,0.461533,0.27999,0.364508,0.312419,0.367703,0.541784,0.392716
-23.477,0.33177,0.352665,0.363832,0.327933,0.305629,0.475118,0.292435,0.384767,0.324081,0.377804,0.539273,0.396437
-22.977,0.332698,0.35738,0.372364,0.32721,0.309149,0.472622,0.3015,0.397766,0.330171,0.384237,0.528668,0.397918
-22.477,0.330347,0.361181,0.379989,0.322475,0.312383,0.460454,0.308333,0.404119,0.333097,0.388422,0.523678,0.39839
-21.977,0.32901,0.365643,0.387687,0.31736,0.317399,0.448014,0.313735,0.405396,0.334698,0.393257,0.532897,0.399649
-21.477,0.331298,0.369321,0.39292,0.314393,0.32373,0.441635,0.315733,0.399659,0.334252,0.399528,0.552868,0.398347
-20.977,0.333717,0.366467,0.389372,0.30966,0.32497,0.441525,0.309133,0.382726,0.325206,0.405713,0.562935,0.389816
-20.477,0.336263,0.356225,0.377389,0.302874,0.321036,0.445185,0.293742,0.357775,0.309116,0.408216,0.551401,0.375404
-19.977,0.336208,0.340791,0.359966,0.295117,0.312561,0.446622,0.273152,0.33135,0.290638,0.401478,0.523245,0.360261
-19.477,0.332448,0.325855,0.343211,0.288606,0.303358,0.444107,0.256711,0.311832,0.276622,0.384056,0.497789,0.351664
-18.977,0.326665,0.319059,0.336411,0.288015,0.300077,0.443581,0.256646,0.306966,0.273091,0.364082,0.497654,0.355901
-18.477,0.323324,0.32717,0.348525,0.298973,0.310216,0.455283,0.281275,0.319787,0.283844,0.358325,0.535292,0.376851
-17.977,0.324383,0.352709,0.379258,0.322514,0.337418,0.483398,0.33051,0.347709,0.30962,0.37634,0.603932,0.413197
-17.477,0.326629,0.391426,0.419261,0.355655,0.377548,0.521049,0.395334,0.382419,0.346506,0.411462,0.681792,0.460105
-16.977,0.326372,0.428916,0.455517,0.389784,0.41695,0.554563,0.457183,0.412405,0.383852,0.448907,0.745527,0.507092
-16.477,0.320484,0.451987,0.476236,0.414858,0.44248,0.575003,0.49915,0.42973,0.410861,0.474764,0.782653,0.540215
-15.977,0.312343,0.454357,0.474857,0.423856,0.446651,0.58292,0.510216,0.433593,0.420137,0.488357,0.792421,0.549719
-15.477,0.307915,0.439748,0.451339,0.418244,0.430118,0.584176,0.493314,0.429378,0.411534,0.495617,0.780884,0.532427
-14.977,0.311294,0.416184,0.413686,0.405203,0.402356,0.582552,0.461376,0.421059,0.392208,0.497652,0.752801,0.494008
-14.477,0.323389,0.390328,0.376187,0.392776,0.373184,0.578861,0.428906,0.412384,0.371745,0.492572,0.717181,0.449975
-13.977,0.340119,0.367176,0.351044,0.385345,0.351044,0.573668,0.405908,0.40591,0.358871,0.479945,0.688937,0.417082
-13.477,0.356703,0.351673,0.343423,0.382195,0.340541,0.570218,0.392083,0.405297,0.357375,0.465041,0.682591,0.406529
-12.977,0.37061,0.349522,0.350718,0.383111,0.341663,0.572849,0.386389,0.413017,0.364878,0.456855,0.701667,0.420093
-12.477,0.384268,0.361559,0.367226,0.390032,0.352022,0.585036,0.388191,0.426436,0.376873,0.46002,0.738033,0.44806
-11.977,0.402281,0.382072,0.390377,0.402376,0.370286,0.606198,0.395988,0.441209,0.389046,0.472825,0.778718,0.478896
-11.477,0.423954,0.405587,0.413002,0.415801,0.39191,0.62825,0.406799,0.452482,0.400488,0.489876,0.810869,0.505378
-10.977,0.442983,0.419158,0.426542,0.421808,0.409556,0.63961,0.414867,0.457,0.409601,0.505049,0.825359,0.521891
-10.477,0.450489,0.414868,0.425197,0.411297,0.411468,0.63391,0.412304,0.451766,0.411941,0.513607,0.820299,0.521453
-9.97699,0.439204,0.394831,0.40743,0.385016,0.395536,0.616034,0.393908,0.436128,0.404124,0.511032,0.791768,0.50007
-9.47699,0.408274,0.361945,0.375877,0.347948,0.370416,0.596012,0.361211,0.412078,0.387196,0.494463,0.742181,0.456695
-8.97699,0.366812,0.324005,0.334939,0.308632,0.346466,0.579593,0.320259,0.388916,0.370188,0.467361,0.687295,0.402314
-8.47699,0.326572,0.290079,0.297944,0.27854,0.333594,0.568142,0.285387,0.376186,0.362343,0.439966,0.644012,0.358038
-7.97699,0.299809,0.271709,0.2784,0.265908,0.330287,0.558817,0.27304,0.37588,0.365711,0.422482,0.627011,0.336755
-7.47699,0.292889,0.275873,0.28318,0.272153,0.332035,0.550451,0.283173,0.386545,0.377253,0.420763,0.635516,0.340436
-6.97699,0.301656,0.303676,0.308743,0.294041,0.335531,0.547013,0.305018,0.402241,0.391554,0.434526,0.654127,0.361601
-6.47699,0.322457,0.341961,0.339735,0.322044,0.341236,0.552439,0.325772,0.420633,0.405805,0.45892,0.67503,0.390319
-5.97699,0.348069,0.375205,0.363698,0.346437,0.351576,0.569046,0.338103,0.44178,0.41896,0.488643,0.697741,0.424217
-5.47699,0.373039,0.400602,0.376405,0.362953,0.367679,0.594009,0.34724,0.461817,0.427218,0.518637,0.723663,0.460925
-4.97699,0.397983,0.422215,0.381877,0.37044,0.38807,0.619641,0.358529,0.478022,0.428805,0.546601,0.753084,0.492905
-4.47699,0.426317,0.446745,0.387519,0.372268,0.408212,0.640383,0.37467,0.490489,0.429796,0.574361,0.78245,0.516213
-3.97699,0.455474,0.473526,0.403211,0.376765,0.427783,0.657365,0.39677,0.50132,0.439519,0.604379,0.809596,0.535196
-3.47699,0.479926,0.500361,0.428161,0.388148,0.447571,0.675332,0.424446,0.510893,0.458356,0.633509,0.828839,0.557269
-2.97699,0.493126,0.52678,0.453834,0.404674,0.466843,0.697391,0.456223,0.521169,0.478474,0.65598,0.836737,0.584643
-2.47699,0.495773,0.548547,0.470988,0.422423,0.483661,0.722315,0.482271,0.53267,0.489892,0.667188,0.831815,0.612778
-1.97699,0.49578,0.563091,0.475209,0.435866,0.49369,0.744582,0.491063,0.541704,0.489146,0.663618,0.817654,0.630829
-1.47699,0.496349,0.564942,0.469883,0.443466,0.49671,0.757574,0.485896,0.54362,0.482363,0.648711,0.8016,0.634283
-0.976994,0.495851,0.553212,0.462296,0.44579,0.497419,0.758434,0.477084,0.537762,0.476692,0.63086,0.789081,0.628418
-0.476994,0.487784,0.536472,0.456702,0.44402,0.498357,0.747476,0.476299,0.527882,0.472982,0.616109,0.782124,0.618529
0.0230064,0.472711,0.527956,0.459337,0.445333,0.501973,0.731727,0.490917,0.524906,0.472382,0.613908,0.785331,0.61039
0.523006,0.463468,0.534433,0.469998,0.459914,0.50855,0.724743,0.510901,0.536183,0.477592,0.628453,0.800923,0.61122
1.02301,0.472623,0.551398,0.480245,0.479235,0.514474,0.731166,0.525305,0.552872,0.490728,0.656245,0.822544,0.622358
1.52301,0.494897,0.572955,0.488034,0.492476,0.520295,0.742848,0.53034,0.569782,0.511511,0.686918,0.847926,0.635954
2.02301,0.517069,0.587433,0.488682,0.493047,0.523807,0.751715,0.526134,0.583325,0.529197,0.706037,0.872496,0.648411
2.52301,0.525852,0.587306,0.482139,0.480386,0.520845,0.753535,0.514201,0.58967,0.533893,0.706249,0.89122,0.652822
3.02301,0.516571,0.574429,0.470184,0.465416,0.509509,0.747262,0.495687,0.587451,0.523619,0.688226,0.902661,0.643369
3.52301,0.496982,0.549973,0.457331,0.455022,0.490167,0.732419,0.473081,0.578401,0.504053,0.66103,0.906315,0.621721
4.02301,0.473029,0.520929,0.448908,0.446769,0.465298,0.709759,0.448783,0.562905,0.483018,0.635378,0.899531,0.588468
4.52301,0.449712,0.492861,0.445141,0.434714,0.439315,0.68115,0.424494,0.542966,0.463745,0.611075,0.877807,0.549253
5.02301,0.432755,0.466516,0.439095,0.415416,0.41509,0.653571,0.401414,0.518836,0.445476,0.587825,0.844037,0.511014
5.52301,0.424424,0.442521,0.425919,0.390063,0.393985,0.631255,0.378688,0.48987,0.430149,0.565046,0.807335,0.477952
6.02301,0.418234,0.417108,0.408111,0.362406,0.37407,0.608738,0.352832,0.459964,0.418162,0.538526,0.779411,0.449425
6.52301,0.405974,0.382358,0.386435,0.336889,0.353064,0.582451,0.323792,0.43372,0.406647,0.507046,0.754436,0.419562
7.02301,0.389731,0.341119,0.363029,0.319439,0.33355,0.55775,0.300447,0.416507,0.395966,0.479966,0.726808,0.391658
7.52301,0.378551,0.309867,0.343437,0.314298,0.320408,0.54237,0.292923,0.409227,0.387973,0.467109,0.701603,0.376617
8.02301,0.381773,0.306178,0.336955,0.325205,0.320186,0.543305,0.309654,0.411005,0.388244,0.474072,0.688457,0.386081
8.52301,0.402039,0.333714,0.351253,0.353052,0.333912,0.561148,0.34494,0.422145,0.402183,0.49942,0.700713,0.424639
9.02301,0.431152,0.376428,0.382122,0.39017,0.355559,0.587403,0.384228,0.438878,0.429048,0.532186,0.731924,0.478817
9.52301,0.458812,0.412145,0.412498,0.423189,0.376828,0.612671,0.414813,0.456177,0.457992,0.561045,0.765749,0.528358
10.023,0.475353,0.427764,0.425579,0.440543,0.390255,0.628651,0.426609,0.46786,0.475471,0.575319,0.793177,0.558469
10.523,0.473067,0.424248,0.41635,0.438824,0.391201,0.630218,0.423862,0.470529,0.47232,0.573284,0.805441,0.561823
11.023,0.453195,0.410823,0.390756,0.422807,0.380518,0.617232,0.413709,0.465889,0.450164,0.556441,0.800766,0.542236
11.523,0.423944,0.395808,0.362269,0.403253,0.36412,0.592883,0.403835,0.457095,0.420548,0.531566,0.782889,0.509402
12.023,0.395143,0.387395,0.340989,0.386145,0.35073,0.560957,0.400111,0.446013,0.392606,0.506474,0.756369,0.474914
12.523,0.374779,0.388221,0.332564,0.373342,0.349607,0.530638,0.404309,0.433619,0.372071,0.487346,0.731579,0.448223
13.023,0.364925,0.398028,0.33773,0.367949,0.36347,0.51149,0.415339,0.421186,0.363761,0.480906,0.714742,0.435044
13.523,0.362643,0.41421,0.355639,0.375487,0.38885,0.510462,0.430831,0.411536,0.370601,0.488303,0.708555,0.440935
14.023,0.363391,0.433114,0.383388,0.399204,0.419493,0.527726,0.447101,0.408201,0.391708,0.504395,0.711031,0.466917
14.523,0.364878,0.452215,0.412577,0.432584,0.446928,0.554276,0.458685,0.413078,0.421465,0.518762,0.714176,0.505264
15.023,0.367059,0.466542,0.435273,0.463093,0.465796,0.579319,0.462815,0.424899,0.450866,0.525008,0.710775,0.539767
15.523,0.370682,0.472364,0.444793,0.4792,0.472852,0.59489,0.460906,0.436553,0.470788,0.520856,0.70214,0.55608
16.023,0.374289,0.46673,0.439315,0.476164,0.464865,0.59785,0.452758,0.43928,0.472774,0.507919,0.69205,0.549176
16.523,0.373611,0.449926,0.421184,0.4557,0.444161,0.589064,0.433845,0.428151,0.454578,0.488919,0.682961,0.52549
17.023,0.366521,0.42549,0.394413,0.421429,0.414,0.566962,0.402751,0.403445,0.420337,0.464961,0.667279,0.49143
17.523,0.355133,0.4,0.366741,0.380716,0.380541,0.532051,0.364495,0.372059,0.380057,0.440334,0.639485,0.451603
18.023,0.345051,0.383082,0.347262,0.345931,0.352584,0.490705,0.331899,0.344277,0.347228,0.422292,0.607547,0.414394
18.523,0.341104,0.381435,0.341499,0.324752,0.333757,0.452543,0.314612,0.327498,0.32799,0.415724,0.586154,0.38459
19.023,0.343142,0.395387,0.347269,0.31807,0.32426,0.428229,0.311832,0.324104,0.32195,0.42006,0.586321,0.366012
19.523,0.34712,0.416507,0.355116,0.31969,0.321079,0.42052,0.316706,0.330909,0.323857,0.427949,0.601065,0.357973
20.023,0.349158,0.433263,0.356088,0.323511,0.31994,0.424788,0.322274,0.341508,0.326963,0.43075,0.616227,0.358264
20.523,0.348101,0.439518,0.347687,0.326945,0.318795,0.434125,0.324851,0.349768,0.326772,0.425022,0.623444,0.365218
21.023,0.344347,0.435933,0.332792,0.328933,0.316453,0.442136,0.323571,0.351555,0.323399,0.412848,0.620178,0.37433
21.523,0.337726,0.427185,0.316708,0.328522,0.311108,0.446828,0.3183,0.344341,0.317721,0.399109,0.61058,0.380465
22.023,0.330456,0.41878,0.305417,0.327053,0.304368,0.448765,0.311458,0.332194,0.312773,0.389262,0.602521,0.382186
22.523,0.327346,0.418514,0.306696,0.328925,0.301854,0.450507,0.311255,0.32536,0.314336,0.388455,0.606169,0.385886
23.023,0.325838,0.423391,0.319869,0.332295,0.304448,0.452429,0.319661,0.324582,0.321487,0.393842,0.619276,0.394211
23.523,0.326119,0.430013,0.339792,0.336862,0.312153,0.453749,0.334507,0.329996,0.332461,0.401948,0.637354,0.407634
24.023,0.321878,0.432661,0.356957,0.337041,0.319326,0.452454,0.348405,0.336154,0.340697,0.40623,0.647031,0.42089
24.523,0.30564,0.420177,0.357493,0.326251,0.31671,0.446035,0.347141,0.33146,0.336128,0.397911,0.633506,0.422017
25.023,0.28229,0.397639,0.347166,0.310427,0.305003,0.434906,0.332564,0.321768,0.320464,0.38004,0.608567,0.41575
25.523,0.253093,0.372367,0.327752,0.289711,0.283067,0.418946,0.308607,0.31106,0.294926,0.357606,0.576134,0.402511
